route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
O0636AAA0A,22004,636,Merck - Saens Peña,,700,F14F95,000000
O0805AAA0A,22004,805,Terminal Alvorada - Jardim Oceânico,,700,6EC3E6,000000
O0497AAA0A,22003,497,Penha - Largo do Machado,,700,1B47B9,FFFFFF
E2343AAA0A,22003,2343,Ribeira - Castelo,,200,030478,FFFFFF
E2305AAA0A,22003,2305,Jardim América - Castelo,,200,030478,FFFFFF
E2342AAA0A,22003,2342,Bananal - Castelo,,200,030478,FFFFFF
E2344AAA0A,22003,2344,Bancários - Castelo,,200,030478,FFFFFF
O0254AAA0A,22003,254,Madureira - Candelária,,700,1DA527,FFFFFF
O0238AAA0A,22003,238,Água Santa - Castelo,,700,1DA527,FFFFFF
O0238AAN0A,22003,SN238,Água Santa - Castelo,,700,1DA527,FFFFFF
O0247AAA0A,22003,247,Camarista Méier - Passeio,,700,1DA527,FFFFFF
O0249AAA0A,22003,249,Água Santa - Carioca,,700,1DA527,FFFFFF
O0265AAA0A,22003,265,Marechal Hermes - Castelo,,700,1DA527,FFFFFF
O0265AAN0A,22003,SN265,Marechal Hermes - Castelo,,700,1DA527,FFFFFF
O0277AAA0A,22003,277,Rocha Miranda - Candelária,,700,1DA527,FFFFFF
O0519AAA0A,22002,519,Urca - Copacabana,LECD54,700,B1B1B1,000000
O0518AAA0A,22002,518,Urca - Botafogo,LECD55,700,B1B1B1,000000
O0915AAA0A,22003,915,Bonsucesso - Aeroporto Internacional do RJ,,700,EA0A2A,FFFFFF
O0232AAA0A,22003,232,Lins de Vasconcelos - Castelo,,700,1DA527,FFFFFF
O0885AAA0A,22005,885,Terminal Mato Alto - Santa Cruz,,700,FF7600,000000
O0550AAPBA,22004,SPB550,Tijuquinha - Gávea,,700,F14F95,000000
O0831AAV0A,22004,SV831,Colônia - Terminal Taquara,,700,F14F95,000000
O0692AAV0A,22004,SV692,Méier - Terminal Alvorada,,700,1DA527,FFFFFF
O0232AAN0A,22003,SN232,Lins de Vasconcelos - Castelo,,700,1DA527,FFFFFF
O0292AAA0A,22003,292,Engenho da Rainha - Castelo,,700,1B47B9,FFFFFF
O0765AAA0A,22005,765,Mendanha - Terminal Deodoro,LECD67,700,FF7600,000000
O0296AAA0A,22003,296,Irajá - Castelo,,700,1B47B9,FFFFFF
O0866AAV0A,22005,SV866,Terminal Campo Grande - Terminal Pingo d'Água,,700,FF7600,000000
O0753AAA0A,22005,753,Santa Cruz - Metrô Coelho Neto,LECD59,700,8330A5,FFFFFF
O0298AAA0A,22003,298,Acari - Castelo,,700,1B47B9,FFFFFF
O0311AAA0A,22003,311,Engenheiro Leal - Candelária,,700,1DA527,FFFFFF
O0803AAP0A,22005,SP803,Jabour - Terminal Sulacap,,700,A0662E,FFFFFF
O0312AAA0A,22003,312,Olaria - Candelária,,700,1B47B9,FFFFFF
O0313AAA0A,22003,313,Penha (Grotão) - Praça Tiradentes,,700,1B47B9,FFFFFF
O0321AAA0A,22003,321,Bancários - Castelo,,700,EA0A2A,FFFFFF
O0323AAA0A,22003,323,Bananal - Castelo,,700,EA0A2A,FFFFFF
O0325AAA0A,22003,325,Ribeira - Castelo,,700,EA0A2A,FFFFFF
O0326AAA0A,22003,326,Bancários - Candelária,,700,EA0A2A,FFFFFF
O0327AAA0A,22003,327,Ribeira - Castelo,,700,EA0A2A,FFFFFF
O0328AAA0A,22003,328,Bananal - Candelária,,700,EA0A2A,FFFFFF
O0329AAA0A,22003,329,Bancários - Candelária,,700,EA0A2A,FFFFFF
O0342AAA0A,22003,342,Jardim América - Castelo,,700,1B47B9,FFFFFF
O0342AAR0A,22003,SR342,Jardim América - Castelo,,700,1B47B9,FFFFFF
O0349AAA0A,22003,349,Rocha Miranda - Castelo,,700,1DA527,FFFFFF
O0355AAA0A,22003,355,Madureira - Praça Tiradentes,,700,1DA527,FFFFFF
O0355AAR0A,22003,SR355,Madureira - Praça Tiradentes,,700,1DA527,FFFFFF
